"Airport ID",Name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,"Tz database time zone",Type,Source
3317,"Brisbane Archerfield Airport","Brisbane","Australia",\N,"YBAF",-27.5702991486,153.007995605,63,10,"O","Australia/Brisbane","airport","OurAirports"
3318,"Northern Peninsula Airport","Amberley","Australia","ABM","YBAM",-10.9508,142.459,34,10,"O","Australia/Brisbane","airport","OurAirports"
3319,"Alice Springs Airport","Alice Springs","Australia","ASP","YBAS",-23.806699752807617,133.90199279785156,1789,9.5,"N","Australia/Darwin","airport","OurAirports"
3320,"Brisbane International Airport","Brisbane","Australia","BNE","YBBN",-27.384199142456055,153.11700439453125,13,10,"N","Australia/Brisbane","airport","OurAirports"
3321,"Gold Coast Airport","Coolangatta","Australia","OOL","YBCG",-28.1644001007,153.505004883,21,10,"N","Australia/Brisbane","airport","OurAirports"
3322,"Cairns International Airport","Cairns","Australia","CNS","YBCS",-16.885799408,145.755004883,10,10,"N","Australia/Brisbane","airport","OurAirports"
3323,"Charleville Airport","Charlieville","Australia","CTL","YBCV",-26.4132995605,146.261993408,1003,10,"O","Australia/Brisbane","airport","OurAirports"
3324,"Mount Isa Airport","Mount Isa","Australia","ISA","YBMA",-20.663900375399997,139.488998413,1121,10,"O","Australia/Brisbane","airport","OurAirports"
3325,"Sunshine Coast Airport","Maroochydore","Australia","MCY","YBMC",-26.603300094599998,153.091003418,15,10,"O","Australia/Brisbane","airport","OurAirports"
3326,"Mackay Airport","Mackay","Australia","MKY","YBMK",-21.171699523900003,149.179992676,19,10,"O","Australia/Brisbane","airport","OurAirports"
3328,"Proserpine Whitsunday Coast Airport","Prosserpine","Australia","PPP","YBPN",-20.4950008392,148.552001953,82,10,"O","Australia/Brisbane","airport","OurAirports"
3329,"Rockhampton Airport","Rockhampton","Australia","ROK","YBRK",-23.3819007874,150.475006104,34,10,"O","Australia/Brisbane","airport","OurAirports"
3330,"Townsville Airport","Townsville","Australia","TSV","YBTL",-19.252500534057617,146.76499938964844,18,10,"N","Australia/Brisbane","airport","OurAirports"
